Category,Feature ID,説明,Battle　経路,Type,Encoder,keys,Range,classes,,Default,MVP,備考
my_active,active_level,場のポケモンのレベル,,int,,,,,,50,FALSE,
my_active,active_base_stats_HP,場のポケモンのHP種族値,,int,identity,,,,,,FALSE,
my_active,active_base_stats_atk,場のポケモンのこうげき種族値,,int,identity,,,,,,FALSE,
my_active,active_base_stats_def,場のポケモンの防御種族値,,int,identity,,,,,,FALSE,
my_active,active_base_stats_spa,場のポケモンのとくこう種族値,,int,identity,,,,,,FALSE,
my_active,active_base_stats_spd,場のポケモンのとくぼう種族値,,int,identity,,,,,,FALSE,
my_active,active_base_stats_spe,場のポケモンのすばやさ種族値,,int,identity,,,,,,FALSE,
my_active,active_boosts_akt,場のポケモンのこうげきランク,battle.active_pokemon.boosts,int,linear_scale,,,,,0,FALSE,
my_active,active_boosts_def,場のポケモンのぼうぎょランク,,int,linear_scale,,,,,0,FALSE,
my_active,active_boosts_spa,場のポケモンのとくこうランク,,int,linear_scale,,,,,0,FALSE,
my_active,active_boosts_spd,場のポケモンのとくぼうランク,,int,linear_scale,,,,,0,FALSE,
my_active,active_boosts_spe,場のポケモンのすばやさランク,,int,linear_scale,,,,,0,FALSE,
my_active,active_boosts_acc,場のポケモンの命中ランク,,int,linear_scale,,,,,0,FALSE,
my_active,active_boosts_eve,場のポケモンの回避ランク,,int,linear_scale,,,,,0,FALSE,
my_active,active_current_hp,場のポケモンの現在HP,,int,,,,,,,FALSE,
my_active,active_current_hp_frac,場のポケモンの現在HP割合,active.current_hp_fraction,float,identity,,,,,1,TRUE,
my_active,active_fainted_flag,場のポケモンんがきぜつしたか,battle.active_pokemon.fainted,bool,,,,,,FALSE,FALSE,
my_active,active_is_terastallized,場のポケモンがテラスタルしたかどうか,battle.active_pokemon.is_terastallized,bool,,,,,,FALSE,FALSE,
my_active,active_held_item,場のポケモンのもちもの,,,,,,,,None,FALSE,
my_active,active_move1_type,場のポケモンのわざ１のタイプ,active_sorted_moves[0].type.name.lower(),PkemonType,onehot,,,"[unk,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,stellar,three_question_marks,water]",,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",TRUE,
my_active,active_move1_base_power,場のポケモンのわざ１の威力,active_sorted_moves[0].type.base_power,int,linear_scale,,"range:[0,255] scale_to:[0,1]",,,0,TRUE,
my_active,active_move1_class,場のポケモンのわざ１クラス,"battle.active_pokemon.moves[""key""].class",str,onehot,,,"[physical,special,status]",,"[0,0,0]",FALSE,
