2025-06-26 16:54:27,459 WARNING player_1 selected disabled action 0; fallback to 3
2025-06-26 16:54:31,342 WARNING player_0 selected disabled action 2; fallback to 0
2025-06-26 16:54:33,551 WARNING player_0 selected disabled action 8; fallback to 0
2025-06-26 16:54:33,607 WARNING player_0 selected disabled action 8; fallback to 2
2025-06-26 16:54:34,257 WARNING player_0 selected disabled action 2; fallback to 0
2025-06-26 16:54:34,965 WARNING player_0 selected disabled action 5; fallback to 0
2025-06-26 16:54:42,912 WARNING player_1 selected disabled action 2; fallback to 0
2025-06-26 16:54:53,043 WARNING player_0 selected disabled action 8; fallback to 3
2025-06-26 16:54:56,886 WARNING player_0 selected disabled action 1; fallback to 3
2025-06-26 16:54:57,520 WARNING player_0 selected disabled action 8; fallback to 3
2025-06-26 16:54:57,521 WARNING player_1 selected disabled action 7; fallback to 0
2025-06-26 16:55:00,165 WARNING player_1 selected disabled action 1; fallback to 2
2025-06-26 16:55:01,199 WARNING player_0 selected disabled action 8; fallback to 2
2025-06-26 16:55:01,467 WARNING player_0 selected disabled action 8; fallback to 3
