battle_id,winner_username,outcome_label,turns,player1_team_species,player2_team_species
battle-gen9randombattle-278,RuleBasedPlayer 1,RuleBasedPlayer,24,"['bombirdier', 'weavile', 'sneasler', 'gyarados', 'toedscruel', 'politoed']","['zebstrika', 'tinglu', 'coalossal', 'electivire', 'chienpao', 'flygon']"
battle-gen9randombattle-279,RuleBasedPlayer 1,RuleBasedPlayer,39,"['alomomola', 'hatterene', 'rhydon', 'bronzong', 'crabominable', 'shiftry']","['cinccino', 'pikachuoriginal', 'lucario', 'eternatus', 'zacian', 'alcremiesaltedcream']"
battle-gen9randombattle-280,RandomPlayer 1,RandomPlayer,26,"['toucannon', 'appletun', 'arcaninehisui', 'darkrai', 'roaringmoon', 'okidogi']","['arceuswater', 'miraidon', 'morpeko', 'charizard', 'kricketune', 'garchomp']"
battle-gen9randombattle-281,RuleBasedPlayer 1,RuleBasedPlayer,18,"['weavile', 'brutebonnet', 'magmortar', 'golurk', 'jolteon', 'duraludon']","['victreebel', 'emboar', 'houndoom', 'pelipper', 'landorustherian', 'haxorus']"
battle-gen9randombattle-282,RuleBasedPlayer 1,RuleBasedPlayer,32,"['porygon2', 'ludicolo', 'lumineon', 'shiftry', 'espathra', 'beartic']","['delibird', 'froslass', 'palafinhero', 'muk', 'diancie', 'komala']"
battle-gen9randombattle-283,RuleBasedPlayer 1,RuleBasedPlayer,67,"['grimmsnarl', 'tentacruel', 'illumise', 'scrafty', 'forretress', 'decidueye']","['hippowdon', 'rabsca', 'forretress', 'brambleghast', 'overqwil', 'dragalge']"
battle-gen9randombattle-284,RuleBasedPlayer 1,RuleBasedPlayer,46,"['walkingwake', 'vigoroth', 'hitmonlee', 'mightyena', 'stonjourner', 'lumineon']","['rillaboom', 'zacian', 'porygon2', 'latias', 'deoxysattack', 'slitherwing']"
battle-gen9randombattle-285,RuleBasedPlayer 1,RuleBasedPlayer,20,"['bastiodon', 'rhyperior', 'houndstone', 'electrodehisui', 'cloyster', 'mienshao']","['calyrexshadow', 'diancie', 'glalie', 'arceuswater', 'malamar', 'dodrio']"
battle-gen9randombattle-286,RandomPlayer 1,RandomPlayer,54,"['mismagius', 'deoxys', 'cloyster', 'oricoriopau', 'eelektross', 'hitmontop']","['urshifu', 'slowking', 'yanmega', 'sandyshocks', 'persianalola', 'appletun']"
battle-gen9randombattle-287,RuleBasedPlayer 1,RuleBasedPlayer,16,"['perrserker', 'hypno', 'ironboulder', 'grafaiai', 'falinks', 'milotic']","['tinglu', 'greattusk', 'stonjourner', 'dodrio', 'gurdurr', 'mimikyubusted']"
